sujet,date,statut
Pourquoi Les Joueurs de cartes de Cézanne existent-ils en cinq versions différentes ?,2025-10-15T15:01:57.663309,succès
Quelle technique Pontormo utilisait-il pour ses couleurs acides dans La Déposition ?,2025-10-17T10:43:52.868135,succès
Comment les peintres vénitiens broyaient-ils les pigments dans leurs ateliers ?,2025-10-21T10:44:15.499159,succès
Pourquoi La Joconde n'a-t-elle ni sourcils ni cils visibles ?,2025-10-24T10:46:08.994273,succès
Quelle symbolique hermétique se cache dans La Madone aux fuseaux de Léonard ?,2025-10-28T07:38:20.626452,succès
Comment Ghirlandaio intégrait-il des portraits de mécènes dans ses fresques religieuses ?,2025-11-04T07:38:00.455118,succès
Pourquoi Le Verrou de Fragonard illustre-t-il parfaitement le style rococo ?,2025-11-11T07:40:07.021758,succès
Quelle innovation Sebastiano del Piombo a-t-il apportée en peignant sur pierre ?,2025-11-18T07:23:51.755137,succès
Comment les marchands génois contrôlaient-ils l'importation de l'alun nécessaire aux pigments ?,2025-11-25T07:24:19.190818,succès
Pourquoi La Mort de Marat de David est-elle considérée comme une icône révolutionnaire ?,2025-12-02T07:26:16.863377,succès
Quelle technique Andrea del Sarto utilisait-il dans La Madone aux Harpies ?,2025-12-09T07:26:38.234625,succès
Comment Rosso Fiorentino a-t-il développé le maniérisme dans La Descente de Croix ?,2025-12-16T07:28:09.854874,succès
Pourquoi Les Noces de Cana de Véronèse mesurent-elles près de 70 mètres carrés ?,2025-12-23T07:28:07.863502,succès
Quelle est la composition chimique du vermillon qui rendait ce rouge si précieux ?,2025-12-30T07:27:21.043235,succès
Comment Signorelli a-t-il représenté l'anatomie humaine dans ses fresques d'Orvieto ?,2026-01-06T07:30:36.184564,succès
